order_id,customer_id,order_date,payment_method,order_status,shipping_address
1,962,2022-01-03 00:29:48,credit card,Delivered,"6470 Cedar St, Hamburg, Germany"
2,386,2023-03-09 00:54:10,PayPal,Delivered,"8657 Hill Blvd, Bilbao, Spain"
3,230,2024-08-22 10:35:28,Bank Transfer,Delivered,"3167 Lake Rd, Birmingham, United Kingdom"
4,459,2023-11-02 22:20:53,Bank Transfer,Delivered,"5254 Cedar Ave, Gdansk, Poland"
5,620,2023-12-23 03:15:10,Bank Transfer,Delivered,"2210 King St, Wroclaw, Poland"
6,728,2023-02-11 01:46:04,PayPal,Delivered,"8748 Maple Ave, Chicago, United States"
7,750,2022-05-28 01:54:18,credit card,Delivered,"300 Birch Blvd, Birmingham, United Kingdom"
8,503,2024-04-11 13:44:47,Apple Pay,Delivered,"3867 Station St, Glasgow, United Kingdom"
9,1141,2022-06-15 20:49:43,Apple Pay,Cancelled,"8548 Garden Blvd, Marseille, France"
10,1185,2022-07-26 03:21:46,credit card,Delivered,"564 Garden Dr, Munich, Germany"
11,1143,2023-03-18 21:32:47,credit card,Delivered,"4889 Lake Pl, Groningen, Netherlands"
12,238,2023-04-13 14:39:21,Apple Pay,Delivered,"9215 Hill St, Bologna, Italy"
13,688,2023-01-03 22:27:03,Apple Pay,Delivered,"1191 Willow Dr, Krakow, Poland"
14,843,2022-05-17 23:32:37,Apple Pay,Delivered,"3211 Sunset Ln, Naples, Italy"
15,741,2024-10-04 11:03:46,Apple Pay,Delivered,"6379 Elm Blvd, Phoenix, United States"
16,869,2022-04-13 15:54:06,PayPal,Delivered,"9219 Sunset Ave, London, United Kingdom"
17,477,2024-01-27 05:07:37,PayPal,Delivered,"8448 Pine Dr, Seattle, United States"
18,402,2024-01-25 05:52:41,PayPal,Delivered,"2419 Cedar Way, Bilbao, Spain"
19,265,2022-02-25 04:33:44,credit card,Cancelled,"2564 Park Ln, Groningen, Netherlands"
20,307,2023-10-15 19:11:31,PayPal,Delivered,"2952 Oak Pl, New York, United States"
21,467,2024-06-05 18:50:52,PayPal,Delivered,"7384 Garden Ave, Gdansk, Poland"
22,421,2022-05-02 21:25:44,PayPal,Delivered,"270 Queen Ave, New York, United States"
